title,category,summary,url
AI Agents in LangGraph,AI_Learning_Platform,Build agentic AI workflows using LangChain's LangGraph and Tavily's agentic search.,https://learn.deeplearning.ai/courses/ai-agents-in-langgraph/lesson/qyrpc/introduction
AI Fluency: Framework & Foundations,AI_Learning_Platform,"Learn to collaborate with AI systems effectively, efficiently, ethically, and safely",https://anthropic.skilljar.com/ai-fluency-framework-foundations
Agentic AI,AI_Learning_Platform,"In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows.",https://learn.deeplearning.ai/courses/agentic-ai/lesson/pu5xbv/welcome
Building with the Claude API,AI_Learning_Platform,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API,https://anthropic.skilljar.com/claude-with-the-anthropic-api
ChatGPT Prompt Engineering for Developers,AI_Learning_Platform,"Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ...",https://learn.deeplearning.ai/courses/chatgpt-prompt-eng/lesson/zi9lz/guidelines
Claude Code: A Highly Agentic Coding Assistant,AI_Learning_Platform,"Explore, build, and refine codebases with Claude Code.",https://www.deeplearning.ai/short-courses/claude-code-a-highly-agentic-coding-assistant
Generative AI for Software Development,AI_Learning_Platform,"Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code.",https://www.deeplearning.ai/courses/generative-ai-for-software-development
MCP: Build Rich-Context AI Apps with Anthropic,AI_Learning_Platform,"Build AI apps that access tools, data, and prompts using the Model Context Protocol.",https://learn.deeplearning.ai/courses/mcp-build-rich-context-ai-apps-with-anthropic
Machine Learning Specialization,AI_Learning_Platform,"New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today",http://www.deeplearning.ai/courses/machine-learning-specialization
Neural Networks: Zero To Hero,AI_Learning_Platform,No summary found,https://karpathy.ai/zero-to-hero.html
Pair Programming with a Large Language Model,AI_Learning_Platform,"Learn how to prompt an LLM to help improve, debug, understand, and document your code. Use LLMs to simplify your code and enhance productivity.",https://learn.deeplearning.ai/courses/pair-programming-llm/lesson/nsj3s/introduction
Reinforcement Fine-Tuning LLMs with GRPO,AI_Learning_Platform,Improve LLM reasoning with reinforcement fine-tuning and reward functions.,http://www.deeplearning.ai/short-courses/reinforcement-fine-tuning-llms-grpo
The Episode Archive,Article,Get access to our past episodes. Your level of membership determines how many episodes you can pull from the archive per day.,https://journalclub.io/episodes
AI Engineering: Building Applications with Foundation Models,Book,"AI Engineering: Building Applications with Foundation Models [Huyen, Chip] on Amazon.com. *FREE* shipping on qualifying offers. AI Engineering: Bui...",http://www.amazon.com/dp/1098166302
Designing Machine Learning Systems,Book,Machine learning systems are both complex and unique. Complex because they consist of many different components and involve many different stakehol...,http://www.oreilly.com/library/view/designing-machine-learning/9781098107956
Grokking Machine Learning - Luis G. Serrano,Book,"Apply ML to your projects using just high-school math. With easy-to-follow Python-based exercises, this book sets you on the path to becoming a mac...",https://www.manning.com/books/grokking-machine-learning
Hands-On Large Language Models,Book,"AI has acquired startling new language capabilities in just the past few years. Driven by rapid advances in deep learning, language AI systems are ...",https://www.oreilly.com/library/view/hands-on-large-language/9781098150952
