title,category,summary,url
Claude Code: A Highly Agentic Coding Assistant,AI_Course,"Explore, build, and refine codebases with Claude Code.",http://www.deeplearning.ai/short-courses/claude-code-a-highly-agentic-coding-assistant
Generative AI for Software Development,AI_Course,"Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code.",https://www.deeplearning.ai/courses/generative-ai-for-software-development
AI Engineering,Book,"Recent breakthroughs in AI have not only increased demand for AI products, they've also lowered the barriers to entry for those who want to build A...",https://www.oreilly.com/library/view/ai-engineering/9781098166298
Hands-On Large Language Models,Book,Preface Large language models (LLMs) have had a profound and far-reaching impact on the world. By enabling machines to better understand and genera...,https://learning.oreilly.com/library/view/hands-on-large-language/9781098150952/preface01.html
courses/prompt_engineering_interactive_tutorial/Anthropic 1P at master · anthropics/courses,Code_Repository,Anthropic's educational courses. Contribute to anthropics/courses development by creating an account on GitHub.,https://github.com/anthropics/courses/tree/master/prompt_engineering_interactive_tutorial/Anthropic%201P
Udemy] The Complete Agentic AI Engineering Course,Course,No summary available,http://www.udemy.com/course/the-complete-agentic-ai-engineering-course/?couponCode=MT250923G3
3Blue1Brown,General,"Mathematics with a distinct visual perspective. Linear algebra, calculus, neural networks, topology, and more.",https://www.3blue1brown.com/topics/neural-networks
AI Fluency: Framework & Foundations,General,"Learn to collaborate with AI systems effectively, efficiently, ethically, and safely",https://anthropic.skilljar.com/ai-fluency-framework-foundations
Agentic AI MOOC,General,"MOOC, Fall 2025",https://agenticai-learning.org/f25
Building with the Claude API,General,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API,https://anthropic.skilljar.com/claude-with-the-anthropic-api
#ai-for-dev-productivity,Slack_Channel,Slack channel: #ai-for-dev-productivity,N/A
"AI Dev 25: Code, learn, connect.",Video,"Wow—what a day! AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...",https://youtube.com/playlist?list=PLkDaE6sCZn6EYD2iP6x7c3zSbJXi0_jZT&si=tT7PkHTzBTMBqP5L
Deep Dive into LLMs like ChatGPT,Video,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,https://youtu.be/7xTGNNLPyMI?si=dm2ZuxnBymlg99kn
Neural Networks: Zero to Hero,Video,"Share your videos with friends, family, and the world",https://www.youtube.com/playlist?list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ
